#EXPORTTYPE:DATA ALL
#FILE:ExpDat_00089_CaC2O4_20_1000_Al2O3-lids_Air-30-10_TGA.imp
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:ExpDat_00089_CaC2O4_20_1000_Al2
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:TG
#INSTRUMENT:IMPORTED TG
#PROJECT:
#DATE/TIME:25.09.2008 14:22
#CORR. FILE:
#TEMPCAL:---
#LABORATORY:
#OPERATOR:
#REMARK:
#SAMPLE:
#SAMPLE MASS /mg:21.348
#MATERIAL:
#REFERENCE:
#REFERENCE MASS /mg:
#TYPE OF CRUCIBLE:
#SAMPLE CRUCIBLE MASS /mg:0.000
#REFERENCE CRUCIBLE MASS /mg:
#PROTECTIVE GAS:
#FLOW RATE:
#PURGE GAS 1:
#FLOW RATE 1:
#PURGE GAS 2:
#FLOW RATE 2:
#M.RANGE /mg:0
#CORR. CODE:600
#RANGE:30oC/20.1(K/min)/1000oC
#SEGMENT:S1/1
#SEG. 1:30oC/20.1(K/min)/1000oC

##Temp./oC;Time/min;Mass/%;DTG/(%/min)
 30.18800; 0.22000;100.00000; 1.0605e-012
 30.68800; 0.79746; 99.99407; 3.5172e-002
 31.18800; 0.97469;100.00076;-3.1086e-002
 31.68800; 1.10448; 99.99102;-5.4969e-002
 32.18800; 1.21167; 99.99400; 8.8608e-002
 32.68800; 1.30512;100.00152; 5.4523e-002
 33.18800; 1.39032;100.00414; 1.4376e-002
 33.68800; 1.46797;100.00496; 1.1162e-002
 34.18800; 1.54065;100.00602; 1.6996e-002
 34.68800; 1.60882;100.00712; 1.3099e-002
 35.18800; 1.67291;100.00760; 7.1155e-004
 35.68800; 1.73398;100.00716;-1.5732e-002
 36.18800; 1.79217;100.00583;-2.8499e-002
 36.68800; 1.84764;100.00421;-2.6553e-002
 37.18800; 1.90092;100.00311;-1.3106e-002
 37.68800; 1.95204;100.00282; 1.4204e-003
 38.18800; 2.00108;100.00317; 1.2006e-002
 38.68800; 2.04851;100.00393; 1.8853e-002
 39.18800; 2.09432;100.00488; 2.1509e-002
 39.68800; 2.13859;100.00578; 1.7912e-002
 40.18800; 2.18151;100.00639; 9.4328e-003
 40.68800; 2.22325;100.00659; 3.9233e-004
 41.18800; 2.26389;100.00645;-6.1709e-003
 41.68800; 2.30350;100.00615;-9.2339e-003
 42.18800; 2.34216;100.00573;-1.2802e-002
 42.68800; 2.37994;100.00514;-1.9681e-002
 43.18800; 2.41697;100.00421;-3.0821e-002
 43.68800; 2.45334;100.00286;-4.3102e-002
 44.18800; 2.48912;100.00115;-5.0909e-002
 44.68800; 2.52423; 99.99932;-5.1190e-002
 45.18800; 2.55867; 99.99766;-4.3942e-002
 45.68800; 2.59251; 99.99636;-3.2537e-002
 46.18800; 2.62584; 99.99546;-2.1709e-002
 46.68800; 2.65875; 99.99489;-1.4730e-002
 47.18800; 2.69118; 99.99447;-1.1327e-002
 47.68800; 2.72319; 99.99416;-7.4968e-003
 48.18800; 2.75480; 99.99401;-9.9636e-004
 48.68800; 2.78602; 99.99412; 8.6558e-003
 49.18800; 2.81688; 99.99454; 1.8292e-002
 49.68800; 2.84732; 99.99521; 2.3998e-002
 50.18800; 2.87744; 99.99594; 2.2111e-002
 50.68800; 2.90726; 99.99651; 1.5024e-002
 51.18800; 2.93684; 99.99681; 5.2416e-003
